input_feature_name,input_feature_description,expanded_feature_name,expanded_feature_description,prescan_required_hint,domain,prescan_primary_regions,prescan_law_hits,prescan_rationale,prescan_confidence_boost,prescan_keyword_hits
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",Curfew login blocker with Age-sensitive logic and Geo-handler; a module responsible for routing features based on user region for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses Age-sensitive logic to detect minor accounts and routes enforcement through Geo-handler; a module responsible for routing features based on user region to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using Log tracing mode to verify compliance routing for auditability. This allows parental control to be enacted without user-facing alerts, operating in Deploy feature in non-user-impact way to collect analytics only during initial rollout.",True,Child Safety,['US-UT'],['Utah SMRA'],laws: Utah SMRA×1; explicit compliance phrasing; domain hints: Child Safety×9; regions: US-UT,0.3,"{'Child Safety': ['striction for users under 18. The system uses Ag', 'ive logic to detect minor accounts and routes', ' login blocker with Age-sensitive logic and Geo-handl', '18. The system uses Age-sensitive logic to detect min', 'Curfew login blocker with ', ' are implementing a curfew-based login restric', 'bility. This allows parental control to be enacted witho', ' login blocker with Age-sensitive logic and Geo-handl']}"
PF default toggle with NR enforcement for California teens,"As part of compliance with California's SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",Personalized feed default toggle with Not recommended enforcement for California teens,"As part of compliance with California's SB976, the app will disable Personalized feed by default for users under 18 located in California. This default setting is considered Not recommended to override, unless explicit parental opt-in is provided. Geo-detection is handled via Geo-handler; a module responsible for routing features based on user region, and rollout is monitored with Feature rollout status logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",True,Child Safety,['US-CA'],['SB976'],"laws: SB976×1; explicit compliance phrasing; domain hints: Child Safety×2, Privacy & Data Protection×1; regions: US-CA",0.25,"{'Child Safety': ['y default for users under 18 located in Californ', 'ment for California teens As part of complian'], 'Privacy & Data Protection': ['s explicit parental opt-in is provided. Geo-de']}"
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",Child abuse content scanner using Tier 5 sensitivity data; more critical than T1-T4 in this internal taxonomy and Compliance Detection System triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as Tier 5 sensitivity data; more critical than T1-T4 in this internal taxonomy. Once flagged, the Compliance Detection System auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by Local compliance policy parameters in the backend.",True,Child Safety,['US-Federal'],['NCMEC'],"laws: NCMEC×1; domain hints: Child Safety×2, Content Moderation / Illegal Content×1; regions: US-Federal",0.2,"{'Child Safety': ['Child abuse content scann', 'providers to report child sexual abuse conten'], 'Content Moderation / Illegal Content': ['uiring providers to report child sexual abuse ']}"
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16's removal mechanisms.",Content visibility lock with Non-shareable policy (content should not be shared externally) for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under Non-shareable policy (content should not be shared externally). When such content is detected, a soft A user-level limitation applied silently without notifications is applied and Geo-handler; a module responsible for routing features based on user region ensures enforcement is restricted to the EU region only. Log tracing mode to verify compliance routing supports traceability, and Flag for legal review (different from its traditional business use for 'financial loss') status can be triggered for legal review. This feature enhances accountability and complies with Article 16's removal mechanisms.",True,Child Safety,['EU'],['DSA'],"laws: DSA×3; explicit compliance phrasing; domain hints: Content Moderation / Illegal Content×3, Child Safety×2, Privacy & Data Protection×1; regions: EU",0.25,"{'Child Safety': ['Content visibility lock with Non-shareable ', 'e are introducing a visibility lock for flagged user-ge'], 'Content Moderation / Illegal Content': [""s with Article 16's removal mechanisms."", 'Content visibility lock with Non-shareable ', 'e are introducing a visibility lock for flagged user-ge'], 'Privacy & Data Protection': []}"
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",Feature name for internal parental control system-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Feature name for internal parental control system parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using Internal monitoring trigger, the system checks behavioral anomalies against Baseline Behavior; standard user behavior used for anomaly detection models. If violations are detected, restrictions are applied in Deploy feature in non-user-impact way to collect analytics only with full audit logging through Compliance Detection System. A compliance-flagging status, internally used to indicate geo-based alerts flags ensure compliance visibility during rollout phases.",True,Child Safety,['US-FL'],['HB 3'],"laws: HB 3×2; explicit compliance phrasing; domain hints: Child Safety×4, Content Moderation / Illegal Content×1; regions: US-FL",0.25,"{'Child Safety': ['ent accounts when a minor attempts to access ', 'e name for internal parental control system-based parent', 'e name for internal parental control system parental con', 'ntal control system parental control framework. Notifica'], 'Content Moderation / Illegal Content': ['tics only with full audit logging through Com']}"
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",Underage protection via A synthetic codename for the child safety policy framework trigger,"A synthetic codename for the child safety policy framework is activated for all underage users platform-wide, applying Age-sensitive logic to segment accounts. Actions taken under this logic are routed to Compliance Detection System and monitored using Baseline Behavior; standard user behavior used for anomaly detection to identify deviations in usage.",True,Child Safety,[],[],explicit compliance phrasing; domain hints: Child Safety×4,0.15000000000000002,"{'Child Safety': ['ic codename for the child safety policy frame', 'ic codename for the child safety policy frame', 'form-wide, applying Age-sensitive logic to segment ac', 'form-wide, applying Age-sensitive logic to segment ac']}"
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",Age-specific notification controls with Age-sensitive logic,"Notifications will be tailored by age using Age-sensitive logic, allowing us to throttle or suppress push alerts for minors. Log tracing mode to verify compliance routing will log adjustments, and Compliance Detection System will verify enforcement across rollout waves.",True,Child Safety,[],[],explicit compliance phrasing; domain hints: Child Safety×4,0.05,"{'Child Safety': ['ation controls with Age-sensitive logic Notifications', 'ilored by age using Age-sensitive logic, allowing us ', 'ation controls with Age-sensitive logic Notifications', 'ilored by age using Age-sensitive logic, allowing us ']}"
Minor-safe chat expansion via Jellybean,"We're expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",Minor-safe chat expansion via Feature name for internal parental control system,"We're expanding chat features, but for users flagged by Feature name for internal parental control system, certain functions (e.g., media sharing) will be limited. Baseline Behavior; standard user behavior used for anomaly detection and Age-sensitive logic will monitor compliance posture.",True,Child Safety,[],[],explicit compliance phrasing; domain hints: Child Safety×5,0.15000000000000002,"{'Child Safety': ['Minor-safe chat expansion', 'omaly detection and Age-sensitive logic will monitor ', ""e name for internal parental control system We're expand"", 'e name for internal parental control system, certain fun', 'omaly detection and Age-sensitive logic will monitor ']}"
Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",Friend suggestions with underage safeguards,"New suggestion logic uses Personalized feed to recommend friends, but minors are excluded from adult pools using Age-sensitive logic and Compliance Detection System logic. Log tracing mode to verify compliance routing logs interactions in case future policy gates are needed.",True,Child Safety,[],[],explicit compliance phrasing; domain hints: Child Safety×2,0.05,"{'Child Safety': ['m adult pools using Age-sensitive logic and Complianc', 'm adult pools using Age-sensitive logic and Complianc']}"
Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. A user-level limitation applied silently without notifications will apply if a flagged GIF is used by Age-sensitive logic-flagged profiles.",True,Child Safety,[],[],domain hints: Child Safety×3,0.1,"{'Child Safety': ['d inappropriate for minor accounts. A user-le', 'gged GIF is used by Age-sensitive logic-flagged profi', 'gged GIF is used by Age-sensitive logic-flagged profi']}"
